Word,Translation
Word,Translation
abends,in the evening
aber,but
abfahren,to depart
abholen,to pick up
abkratzen,to scrape
ablenken,to distract
abziehen,to deduct
achten,to pay attention
ahnen,to suspect
ähnlich,similar
alle,all
allein,alone
allergisch gegen,allergic to
als,when
also,so
alt,old
an,at
ander,other
anfangen,to begin
angeben,to state
angeln,to go fishing
angewiesen,reliant
anhalten,to stop
ankommen,to arrive
anmachen,to turn on
anprobieren,to try on
anrufen,to phone
anstatt,instead of
anstellen,to employ
antworten,to answer
anzünden,to light
April,April
arbeiten,to work
arm,poor
auch,also
auf,on
Auf Wiedersehen,goodbye
auffordern,to ask
aufgeregt,excited
aufhalten,to stop
aufmachen,to open
aufpassen,to pay attention
aufräumen,to tidy up
aufschreien,to scream
aufstehen,to get up
aufteilen,to divide
auftreten,to occur
aufwachen,to wake up
August,August
aus,out of
ausgeben,to spend
ausgehen,to go out
aussehen,to look (like)
aussteigen,to get out
Australien,Australia
äußern,to express
babysitten,to babysit
bald,soon
basteln,to do handcraft
bauen,to build
bearbeiten,to edit
beginnen,to begin
bei,at the home of
beide,both
bekannt,well-known
bekommen,to receive
beliebt,popular
bequem,comfortable
bereuen,to regret
berühmt,famous
beschreiben,to describe
beschädigen,to damage
besonders,especially
bestellen,to order
besuchen,to visit
bevor,before
bezahlen,to pay
beziehen,to obtain
billig,cheap
bis,until
bitte,please
bitten,to ask
blau,blue
bleiben,to stay
blättern,to scroll
blöd,stupid
böse,angry
braten,to fry
brauchen,to need
braun,brown
brechen,to break
brennen,to burn
bringen,to bring
bunt,brightly coloured
da,there
danke,thank you
dann,then
das,the
das Abendbrot,evening meal
das Auge,eye
das Ausland,abroad
das Auto,car
das Bad,bath
das Bein,leg
das Beispiel,example
das Bett,bed
das Bier,beer
das Bild,picture
das Boot,boat
das Brot,bread
das Brötchen,bread roll
das Buch,book
das Butterbrot,sandwich
das Büro,office
das Dach,roof
das Dorf,village
das Ei,egg
das Einkommen,income
das Eis,ice
das Ende,end
das Erdgeschoss,ground floor
das Fach,subject
das Fahrrad,bicycle
das Fenster,window
das Fest,festival
das Fieber,fever
das Fleisch,meat
das Flugzeug,plane
das Gebäude,building
das Geld,money
das Gelenk,joint
das Gemüse,vegetable
das Geschenk,present
das Geschäft,shop
das Gesicht,face
das Gleis,track
das Gramm,gram
das Gymnasium,high school
das Handy,cell phone
das Haus,house
das Heft,exercise book
das Hemd,shirt
das Hindernis,obstacle
das Hähnchen,chicken
das Jahr,year
das Jugendzentrum,youth centre
das Kaufhaus,department store
das Kind,child
das Kino,cinema
das Klavier,piano
das Kleid,dress
das Land,country
das Lineal,ruler
das Medikament,medicine
das Meer,sea
das Mittagessen,lunch
das Museum,museum
das Mädchen,girl
das Oberteil,top
das Obst,fruit
das Ohr,ear
das Paar,pair
das Paket,parcel
das Papier,paper
das Pferd,horse
das Picknick,picnic
das Rathaus,town hall
das Schaf,sheep
das Schlafzimmer,bedroom
das Schloss,castle
das Schwein,pig
das Schwimmbad,swimming pool
das Stadion,stadium
das Stück,piece
das Tal,valley
das Theater,theatre
das Tier,animal
das Verkehrsamt,tourist info
das Viertel,quarter
das Wasser,water
das Wetter,weather
das Wochenende,weekend
das Wort,word
das Zelt,tent
das Zeugnis,report
das Ziel,goal
das Zimmer,room
dass,that
dauern,to last
decken,to cover
denken,to think
denn,for
der Abend,evening
der Adventskranz,Advent wreath
der Alltag,everyday life
der Apfel,apple
der Arm,arm
der Arzt,doctor
der Aufschnitt,sliced meat
der Ausflug,trip
der Ausgang,exit
der Bahnhof,station
der Bauch,stomach
der Baum,tree
der Berg,mountain
der Bleistift,pencil
der Brief,letter
der Bruder,brother
der Campingplatz,camping ground
der Cent,cent
der Cousin,cousin
der Direktor,principal
der Dom,cathedral
der Duft,fragrance
der Eindruck,impression
der Eingang,entrance
der Einwohner,inhabitant
der Empfänger,recipient
der Euro,Euro
der Fehler,mistake
der Felsen,rock
der Fernseher,TV set
der Fisch,fish
der Flughafen,airport
der Fluss,river
der Freund,friend
der Frühling,spring
der Fuß,foot
der Fußball,football
der Führerschein,driver's licence
der Garten,garden
der Gast,guest
der Geburtstag,birthday
der Geruch,smell
der Grad,degrees
der Großvater,grandfather
der Hafen,harbour
der Handball,handball
der Herbst,autumn
der Herr,gentleman
der Hund,dog
der Imbiss,snack
der Junge,boy
der Kaffee,coffee
der Keller,cellar
der Knochen,bone
der Koffer,suitcase
der Kopf,head
der Krankenpfleger,nurse
der Kuchen,cake
der Kuli,pen
der Käse,cheese
der Körper,body
der Kühlschrank,fridge
der Lehrer,teacher
der Lärm,noise
der Mann,man
der Mantel,coat
der Markt,market
der Mensch,person
der Meter,metre
der Mittag,noon
der Monat,month
der Morgen,morning
der Mund,mouth
der Nachbar,neighbour
der Nachmittag,afternoon
der Nachtisch,dessert
der Name,name
der Onkel,uncle
der Opa,grandad
der Ordner,folder
der Ort,place
der Platz,place
der Postbote,postman
der Rock,skirt
der Rücken,back
der Saft,juice
der Salat,salad
der Schinken,ham
der Schnupfen,cold
der Schrank,cupboard
der Schuh,shoe
der Schulhof,schoolyard
der Schüler,student
der See,lake
der Senf,mustard
der Sommer,summer
der Sonnenbrand,sunburn
der Stiefvater,stepfather
der Stock,floor
der Stoff,material
der Strand,beach
der Stuhl,chair
der Stundenplan,timetable
der Supermarkt,supermarket
der Tag,day
der Tee,tea
der Teppich,carpet
der Termin,appointment
der Tisch,table
der Treffer,hit
der Unfall,accident
der Unterricht,lessons
der Urlaub,holiday
der Vater,father
der Verantwortung,responsibility
der Vogel,bird
der Vormittag,morning
der Vorname,first name
der Wagen,car
der Wald,forest
der Wein,wine
der Winter,winter
der Zahn,tooth
der Zahnarzt,dentist
der Zug,train
der/das Teil,part
der/die Erwachsene,adult
der/die Verwandte,relation
deshalb,therefore
Deutsch,German
Deutschland,Germany
Dezember,December
dick,fat
die Achtung,attention
die Adresse,address
die Alpen,the Alps
die Ampel,traffic lights
die Anstrengung,effort
die Apotheke,pharmacy
die Aufgabe,exercise
die Auseinandersetzung,dispute
die Aussicht,view
die Banane,banana
die Belastung,burden
die Blume,flower
die Bluse,blouse
die Bohnen,beans
die Briefmarke,stamp
die Brille,glasses
die Brücke,bridge
die Burg,castle
die Bäckerei,bakery
die Bühne,stage
die Cousine,cousin
die Dauer,length
die Decke,ceiling
die Direktorin,principal
die Disco,disco
die Diskette,floppy disc
die Drogerie,chemist
die Ecke,corner
die Einnahmen,income
die Eltern,parents
die Entschuldigung,apology
die Erbsen,peas
die Ermäßigung,discount
die Fahrt,trip
die Familie,family
die Farbe,colour
die Ferien,holidays
die Figur,figure
die Flasche,bottle
die Folge,consequence
die Frage,question
die Frau,woman
die Fremdsprache,foreign language
die Freundin,friend
die Fußgängerzone,pedestrian area
die Garage,garage
die Gegend,area
die Gegenwart,present
die Geschichte,history
die Geschwister,siblings
die Grippe,influenza
die Großmutter,grandmother
die Großeltern,grandparents
die Grundschule,primary school
die Grüße,greetings
die Haare,hair
die Haltestelle,stop
die Hauptstadt,capital city
die Hausaufgaben,homework
die Haustier,pet
die Hose,trousers
die Idee,idea
die Insel,island
die Jacke,jacket
die Jahreszeit,season
die Jugendherberge,youth hostel
die Karte,card
die Kartoffeln,potatoes
die Kasse,cashier
die Katze,cat
die Kerze,candle
die Kirche,church
die Klamotten,clothes
die Klasse,class
die Klassenarbeit,assessment test
die Konditorei,cake shop
die Kuh,cow
die Kunst,art
die Küche,kitchen
die Küste,coast
die Lampe,lamp
die Landschaft,landscape
die Lehrerin,teacher
die Leute,people
die Linie,line
die Mauer,wall
die Maus,mouse
die Milch,milk
die Mitte,middle
die Mitternacht,midnight
die Musik,music
die Mutter,mother
die Möbel,furniture
die Nachrichten,news
die Nacht,night
die Nase,nose
die Neuigkeiten,news
die Niederlage,defeat
die Nordsee,North Sea
die Note,mark
die Nudeln,noodles
die Nummer,number
die Nähe,vicinity
die Oma,grandma
die Orange,orange
die Ostsee,Baltic Sea
die Panne,breakdown
die Pause,interval
die Polizei,police
die Pommes frites,hot chips
die Post,post office
die Prüfung,exam
die Richtung,direction
die Ruhe,silence
die Sache,thing
die Schlagzeile,headline
die Schmerzen,pain
die Schokolade,chocolate
die Schule,school
die Schweiz,Switzerland
die Schwester,sister
die Schülerin,student
die Sehenswürdigkeiten,sights
die Seite,page
die Sonne,sun
die Stadt,city
die Stiefmutter,stepmother
die Straße,street
die Straßenbahn,tram
die Stunde,hour
die Suppe,soup
die Süßigkeiten,sweets
die Tante,aunt
die Tasche,bag
die Tasse,cup
die Tastatur,keyboard
die Torte,cake
die Treppe,stairs
die Tür,door
die Tüte,bag
die U-Bahn,subway
die Uhr,clock
die Ursache,cause
die Verletzung,injury
die Vermutung,guess
die Verunsicherung,uncertainty
die Wand,wall
die Woche,week
die Wohnung,apartment
die Wurst,sausage
die Wurzel,root
die Zahnärztin,dentist
die Zeit,time
die Zeitung,newspaper
die Ärztin,doctor
Dienstag,Tuesday
dieser,this
diesmal,this time
doch,yet
Donnerstag,Thursday
doof,dumb
dort,there
dreckig,dirty
drehen,to turn
drucken,to print
dumm,stupid
dunkel,dark
dünn,thin
durch,through
dürfen,to be allowed
Durst haben,to be thirsty
echt,real
egal,it's all the same
eilen,to hurry
eilig,in a hurry
ein bisschen,a little bit
ein paar,a few
eineinhalb,one and a half
einfach,easy
einholen,to catch up
einige,several
einkaufen gehen,to go shopping
einladen,to invite
einsteigen,to get in
empfehlen,to recommend
empfinden,to feel
endlich,finally
eng,narrow
entfernen,to remove
Entschuldigung,excuse me
erfahren,to learn
erklären,to explain
erleben,to experience
ernst,serious
erstaunt,surprised
erzählen,to relate
es gibt,there is
es regnet,it's raining
es schneit,it's snowing
essen,to eat
etw. passen nicht,doesn't fit
etwas,something
fahren,to drive
fallen,to fall
falsch,wrong
fast,almost
faul,lazy
Februar,February
fehlen,to be absent
feiern,to celebrate
fernsehen,to watch TV
fertig,ready
feststellen,to ascertain
fettig,greasy
finden,to find
flach,flat
fleißig,hard-working
fliegen,to fly
fordern,to demand
fragen,to ask
Frankreich,France
Französisch,French
frech,cheeky
frei,free
Freitag,Friday
fremd,foreign
froh,happy
früh,early
frühstücken,to have breakfast
für,for
furchtbar,terrible
ganz,whole
gar nicht,not at all
geben,to give
geboren,born
gefallen,to like
gefährlich,dangerous
gegen,against
gegenüber,opposite
gehen,to go
gehören,to belong
geizig,stingy
gelb,yellow
gemein,mean
genau,exactly
genug,enough
geradeaus,straight ahead
gern,gladly
gestern,yesterday
gesund,healthy
getrennt,separated
gewinnen,to win
gewöhnlich,usually
glatt,smooth
glauben,to believe
gleich,same
Glück haben,to be lucky
glücklich,happy
grau,grey
groß,big
grün,green
gucken,to look
gut,good
haben,to have
halb,half
hallo,hello
hässlich,ugly
heiß,hot
heißen,to be called
helfen,to help
hell,light
herrlich,wonderful
heute,today
hier,here
hilfsbereit,helpful
hinter,behind
hoch,high
hoffen,to hope
hoffentlich,hopefully
holen,to fetch
hören,to hear
hübsch,pretty
Hunger haben,to be hungry
ich gratuliere,congratulations
im Norden,in the north
im Osten,in the east
im Süden,in the south
im Westen,in the west
immer,always
in,in
in Ordnung,fine
Informatik,computer studies
interessant,interesting
ja,yes
Januar,January
jedenfalls,anyway
jeder,every
jemand,someone
jetzt,now
Juli,July
jung,young
Juni,June
kalt,cold
kaputt,broken
kaufen,to buy
kaum,hardly
kennen,to know
klar,clear
klasse,great
klein,small
klingeln,to ring
kochen,to cook
kommen,to come
können,can
kosten,to cost
krank,sick
kurz,short
lächeln,to smile
lachen,to laugh
lang,long
langsam,slow
langweilig,boring
lassen,to let
laufen,to run
laut,loud
leben,to live
lecker,delicious
leer,empty
legen,to put
Leid,I'm sorry
leider,unfortunately
leisten,to afford
lernen,to learn
lesen,to read
letzt,last
lieb,kind
lieben,to love
liegen,to lie
liegen lassen,to leave behind
lila,purple
links,left
los,what's wrong
Lust haben,to feel like
lustig,funny
Mai,May
mailen,to email
malen,to paint
man,one
manchmal,sometimes
März,March
Mathe,Maths
mehr,more
meinen,to mean
meistens,mostly
mindestens,at least
mit,with
mittags,at midday
Mittwoch,Wednesday
modisch,fashionable
mögen,to like
möglich,possible
Montag,Monday
morgen,tomorrow
morgens,in the morning
müde,tired
müssen,must
nach,after
nachdem,after
nachmittags,in the afternoon
nächste,next
nass,wet
Naturwissenschaften,science
natürlich,naturally
neben,beside
neblig,foggy
nehmen,to take
nein,no
nervig,annoying
nett,nice
neu,new
Neuseeland,New Zealand
nicht,not
nicht wahr,isn't it
nichts,nothing
nie,never
niemand,nobody
noch,still
normalerweise,usually
nötig,necessary
November,November
nun,now
nur,only
ob,if
oben,upstairs
obwohl,although
oder,or
offen,open
oft,often
ohne,without
Oktober,October
Österreich,Austria
passen,to fit
passieren,to happen
Pech haben,to be unlucky
praktisch,practical
prima,fantastic
pünktlich,punctual
putzen,to clean
Rad fahren,to go biking
rasen,to race
recht,right
rechts,on the right
reich,rich
reisen,to travel
reiten,to horse-ride
relativ,relatively
reservieren,to reserve
richtig,correct
rosa,pink
rot,red
rufen,to call
ruhig,quiet
sagen,to say
sammeln,to collect
Samstag,Saturday
satt,full
sauber,clean
sauer,sour
schade,pity
scheinen,to seem
schicken,to send
schlafen,to sleep
schlagen,to hit
schlank,slim
schlecht,bad
schließlich,finally
Schluss machen,to finish
schmecken,to taste
schmutzig,dirty
schnell,quickly
schon,already
Schrecklich,terrible
schreiben,to write
schwach,weak
schwarz,black
schwer,difficult
schwierig,difficult
schwimmen,to swim
schön,beautiful
schüchtern,shy
segeln,to sail
sehen,to see
sehr,very
sein,to be
seit,since
selbst,self
September,September
sich anziehen,to get dressed
sich ausziehen,to get undressed
sich beziehen auf,to refer to
sich duschen,to have a shower
sich erinnern,to remember
sich erkälten,to catch cold
sich freuen auf,to look forward
sich freuen über,to be glad about
sich fühlen,to feel
sich interessieren für,to be interested
sich melden,to put hand up
sich setzen,to sit down
sich treffen,to meet
sich vorstellen,to introduce
sicher,safe
simsen,to text
sitzen,to sit down
sitzen bleiben,to repeat the year
Ski fahren,to go skiing
so,so
so ... wie,as ... as
sofort,immediately
sollen,should
sondern,but
Sonntag,Sunday
sonst,otherwise
spannend,exciting
sparen,to save
spazieren gehen,to go for a walk
Spaß haben,to have fun
Spaß machen,to be fun
spielen,to play
Sport treiben,to do sport
sportlich,sporting
sprechen,to speak
spät,late
spülen,to wash up
spüren,to feel
stark,strong
stattfinden,to take place
stehen,to stand
stehlen,to steal
stellen,to put
stimmt,that's right
stolz,proud
streicheln,to pet
streng,strict
suchen,to look for
süß,sweet
sympathisch,pleasant
tanzen,to dance
tatsächlich,actually
teuer,expensive
Tischtennis,table tennis
toll,great
total,absolutely
tragen,to wear
traurig,sad
trinken,to drink
trocken,dry
tschüs,goodbye
üben,to practise
über,over
überfallen,to attack
überlegen,to consider
übermorgen,day after tomorrow
übernachten,to stay the night
übernehmen,to take
überrascht,surprised
um,round
umgedreht,upside down
umsonst,free of charge
umsteigen,to change
unangenehm,unpleasant
unbedingt,absolutely
und,and
ungefähr,approximately
unten,downstairs
unter,under
unterwegs,on the way
verbinden,to connect
verboten,forbidden
verbringen,to spend
vergessen,to forget
verkaufen,to sell
verlassen,to leave
verletzt,injured
verlieren,to lose
vernünftig,sensible
verpassen,to miss
verschwinden,to disappear
versprechen,to promise
verstehen,to understand
versuchen,to try
viel,much
viele,many
vielen Dank,thank you
vielleicht,perhaps
voll,full
von,from
vor,in front of
vorbei,past
vorbeifahren,to drive past
vorbereiten,to prepare
vorgestern,day before yesterday
vorhaben,to plan
vorstellen,to introduce
wahr,true
wahrscheinlich,probably
wandern,to go hiking
wann,when
warten,to wait
warum,why
was,what
waschen,to wash
wecken,to wake
weg,away
wegen,because of
weh tun,to hurt
Weihnachten,Christmas
weil,because
weit,far
weiß,white
welcher,which
wenig,few
wenn,when
wer,who
werden,to become
werfen,to throw
wichtig,important
wie,how
wieder,again
wiederholen,to repeat
windig,windy
wirken,to have an effect
wirklich,really
wissen,to know
wo,where
woher,where from
wohin,where to
wohl,well
wohnen,to live
wolkig,cloudy
wollen,to want to
wunderbar,wonderful
zahlreich,numerous
zeigen,to show
ziemlich,quite
zittern,to tremble
zögern,to hesitate
zu,to
zu Fuß,on foot
zuerst,first
zuhören,to listen
zumachen,to shut
zurück,back
zusammen,together
zwischen,between
